ID,usborn,firstgen,meim01,meim02,meim03,meim04,meim05,meim06,meim07,meim08,meim09,meim10,meim11,meim12,swl01,swl02,swl03,swl04,swl05
MCAE16209,yes,yes,3,2,3,3,4,3,3,3,3,3,3,3,4,4,5,5,5
MCAE16212,yes,yes,4,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5
MCAE16216,yes,yes,3,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,2
MCAE16222,yes,yes,3,3,4,3,4,4,4,4,4,4,4,4,4,2,5,5,5
MCAE16230,yes,yes,3,3,2,3,3,4,4,3,4,3,3,3,2,2,4,4,4
MCAE16232,yes,yes,3,1,4,3,3,1,3,2,1,3,1,3,5,5,5,5,2
MCAE16239,yes,yes,4,3,3,2,3,3,3,3,4,3,3,3,4,4,4,4,4
MCAE16242,yes,yes,3,2,3,3,3,3,3,2,3,3,3,3,4,4,4,4,3
MCAE16254,yes,yes,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,4,2
MCAE16268,yes,yes,4,1,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4
MCAE16283,yes,yes,4,4,4,4,4,1,3,4,3,4,2,3,1,4,3,3,1
MCAE16299,yes,yes,3,2,2,3,4,4,4,4,4,4,4,4,3,4,3,4,5
MCAE16302,yes,yes,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,1
MCAE16303,yes,yes,3,3,2,3,4,3,3,3,3,3,3,4,2,3,2,4,2
MCAE16307,yes,yes,3,2,3,3,3,2,3,4,3,2,3,3,4,4,4,4,3
MCAE16308,yes,yes,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2
MCAE16309,yes,yes,3,1,2,2,3,2,2,2,3,3,2,1,3,4,3,3,3
MCAE16314,yes,yes,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
MCAE16317,yes,yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
