ID,usborn,firstgen,meim01,meim02,meim03,meim04,meim05,meim06,meim07,meim08,meim09,meim10,meim11,meim12,swl01,swl02,swl03,swl04,swl05
MCAE16027,yes,no,3,2,3,4,4,3,4,4,4,4,4,4,4,5,5,5,2
MCAE16028,yes,no,3,4,4,4,3,4,4,3,3,4,4,3,3,3,3,3,1
MCAE16037,yes,no,3,2,2,4,3,2,2,3,2,3,2,2,3,4,3,3,5
MCAE16038,yes,no,3,3,3,4,3,2,3,3,3,2,2,3,4,3,3,4,3
MCAE16041,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,1
MCAE16042,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5
MCAE16043,yes,no,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4
MCAE16045,yes,no,3,2,2,2,3,2,2,3,3,1,3,3,2,2,3,3,1
MCAE16050,yes,no,3,3,3,2,3,4,3,4,4,3,4,4,4,4,4,4,2
MCAE16052,yes,no,3,2,3,3,4,4,3,3,3,3,3,3,4,5,5,5,5
MCAE16053,yes,no,3,2,2,4,2,2,3,4,2,1,2,2,1,1,1,1,1
MCAE16054,yes,no,2,2,2,3,4,4,2,3,4,2,4,4,3,4,4,4,5
MCAE16059,yes,no,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,1
MCAE16060,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
MCAE16062,yes,no,3,2,3,3,3,3,3,2,3,3,3,3,4,3,4,4,4
MCAE16063,yes,no,3,2,4,4,4,3,3,3,3,4,4,3,5,5,5,5,5
MCAE16064,yes,no,2,3,2,2,4,3,3,4,3,2,2,3,3,3,3,3,5
MCAE16065,yes,no,4,3,4,4,3,4,3,3,4,3,3,4,3,3,4,3,2
MCAE16067,yes,no,2,2,3,4,4,4,4,3,4,2,3,4,3,1,3,3,1
MCAE16068,yes,no,4,3,2,4,4,4,2,3,4,4,4,4,4,2,3,3,4
MCAE16069,yes,no,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2
MCAE16070,yes,no,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5
MCAE16071,yes,no,2,2,3,2,3,2,3,3,3,3,2,3,3,3,4,4,3
MCAE16073,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MCAE16074,yes,no,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4,4,2
MCAE16078,yes,no,3,4,4,3,3,3,3,3,4,4,4,4,3,3,3,4,2
MCAE16079,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
MCAE16080,yes,no,3,1,4,3,4,3,3,2,4,3,4,4,3,5,4,3,2
MCAE16082,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
MCAE16083,yes,no,1,2,1,2,3,3,2,1,2,2,2,3,4,4,4,4,4
MCAE16085,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
MCAE16086,yes,no,2,2,2,3,3,3,3,3,2,2,3,3,3,3,4,4,3
MCAE16089,yes,no,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4
MCAE16090,yes,no,2,2,2,3,4,2,2,3,4,2,3,3,4,3,4,4,3
MCAE16092,yes,no,4,2,3,3,4,3,3,4,4,4,4,4,3,4,4,3,3
MCAE16097,yes,no,2,2,4,2,4,3,3,4,3,3,3,4,2,3,1,1,1
MCAE16099,yes,no,2,2,2,2,3,2,2,2,3,3,2,3,4,4,4,3,3
MCAE16101,yes,no,4,3,4,4,4,3,4,3,4,4,4,4,5,4,5,5,5
MCAE16105,yes,no,4,3,3,3,4,3,3,4,3,3,3,4,3,2,4,4,2
MCAE16107,yes,no,1,2,3,3,3,2,3,3,3,3,2,3,4,4,4,4,2
MCAE16109,yes,no,2,2,3,2,4,3,2,2,3,3,4,4,4,4,3,2,1
MCAE16111,yes,no,3,3,4,2,3,3,4,4,4,4,4,4,4,4,5,5,4
MCAE16112,yes,no,3,3,3,3,4,4,3,3,4,4,4,3,4,5,5,5,4
MCAE16113,yes,no,3,2,4,2,4,4,4,3,4,4,4,4,5,5,5,5,4
MCAE16114,yes,no,2,2,3,1,3,3,4,2,3,2,3,4,3,2,3,2,1
MCAE16115,yes,no,3,2,2,3,4,3,3,2,3,2,3,3,5,4,5,5,5
MCAE16117,yes,no,3,3,2,3,3,3,2,3,3,3,3,3,3,4,2,2,1
MCAE16119,yes,no,3,2,3,4,4,3,3,3,3,3,3,3,3,3,2,2,1
MCAE16123,yes,no,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
MCAE16124,yes,no,4,4,3,4,3,2,3,3,2,3,2,3,2,3,4,5,2
MCAE16125,yes,no,3,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3
MCAE16127,yes,no,3,2,4,2,4,4,3,3,4,4,4,4,4,4,5,4,3
MCAE16129,yes,no,3,2,3,2,3,2,3,3,2,3,3,2,4,4,2,4,4
MCAE16131,yes,no,4,2,4,3,4,4,4,3,4,4,4,4,3,4,4,3,3
MCAE16132,yes,no,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5
MCAE16135,yes,no,3,1,2,2,3,2,2,3,4,3,3,4,2,2,1,1,1
MCAE16136,yes,no,4,2,4,3,4,4,3,4,4,3,3,4,3,4,4,4,2
MCAE16137,yes,no,3,2,2,2,2,1,1,2,3,2,2,3,2,2,5,2,2
MCAE16138,yes,no,4,3,3,2,3,2,3,2,2,3,2,3,4,4,4,4,4
MCAE16139,yes,no,3,3,2,4,4,3,3,4,2,3,3,3,4,4,4,3,4
MCAE16140,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
MCAE16141,yes,no,4,3,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2
MCAE16143,yes,no,3,3,4,2,4,4,3,4,4,4,4,4,4,5,2,4,4
MCAE16144,yes,no,3,4,4,3,4,3,3,3,3,3,3,4,4,5,4,4,4
MCAE16145,yes,no,3,1,2,3,3,2,2,3,2,2,3,2,4,4,4,4,4
MCAE16146,yes,no,4,2,2,4,4,2,3,3,3,2,3,2,3,3,4,3,2
MCAE16147,yes,no,3,2,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3
MCAE16150,yes,no,4,3,3,4,3,4,4,4,4,4,4,4,2,5,5,5,5
MCAE16151,yes,no,4,3,4,3,3,3,3,4,4,4,4,4,3,4,5,3,4
MCAE16152,yes,no,3,2,2,2,3,3,3,2,3,2,2,3,4,4,4,3,3
MCAE16154,yes,no,3,1,3,1,4,4,4,1,4,3,1,4,4,4,4,4,4
MCAE16155,yes,no,2,4,3,4,4,4,4,4,4,4,4,4,2,5,3,5,3
MCAE16157,yes,no,4,2,2,2,3,2,2,2,3,1,2,3,3,5,4,2,4
MCAE16158,yes,no,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,5,5
MCAE16160,yes,no,4,3,2,3,3,2,2,3,3,3,3,3,4,2,2,3,2
MCAE16161,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
MCAE16162,yes,no,3,2,2,2,3,2,2,2,3,2,2,3,3,3,4,4,2
MCAE16163,yes,no,3,2,3,3,4,4,3,3,3,4,2,3,4,4,4,4,3
MCAE16166,yes,no,2,3,3,2,3,2,2,3,3,3,2,3,3,3,4,4,3
MCAE16167,yes,no,3,3,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4
MCAE16169,yes,no,4,3,3,2,4,3,3,4,4,3,3,3,4,4,4,5,4
MCAE16170,yes,no,3,1,3,3,3,3,3,3,3,3,2,3,4,4,4,4,1
MCAE16172,yes,no,3,2,3,2,3,2,2,2,3,3,3,3,4,3,2,2,4
MCAE16173,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2
MCAE16174,yes,no,4,2,3,3,4,4,3,3,4,3,4,4,4,4,4,3,2
MCAE16175,yes,no,3,2,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3
MCAE16176,yes,no,2,1,2,1,3,2,1,1,2,2,1,2,2,1,3,4,2
MCAE16177,yes,no,4,4,2,3,3,2,3,1,2,3,2,2,2,1,1,1,5
MCAE16179,yes,no,2,1,2,2,4,3,2,2,4,2,3,4,5,5,5,5,5
MCAE16180,yes,no,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
MCAE16182,yes,no,3,2,3,2,4,4,4,3,4,3,4,4,4,4,4,5,4
MCAE16183,yes,no,1,1,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3
MCAE16184,yes,no,3,3,2,3,3,3,3,2,3,3,3,3,4,3,3,4,3
MCAE16187,yes,no,2,1,2,2,4,2,2,1,3,1,2,3,2,2,2,4,4
MCAE16190,yes,no,3,2,2,2,3,2,2,2,3,3,3,3,2,2,2,3,2
MCAE16191,yes,no,4,3,4,4,4,4,4,4,4,4,4,4,4,1,4,3,5
MCAE16193,yes,no,3,1,3,1,4,3,3,2,4,4,2,3,1,1,1,1,1
MCAE16197,yes,no,3,3,3,3,4,3,3,2,4,3,3,4,2,3,4,3,2
MCAE16198,yes,no,4,3,3,3,4,3,3,3,4,4,4,4,2,2,2,2,2
MCAE16199,yes,no,3,2,3,3,4,2,3,4,4,4,4,4,4,4,4,3,4
MCAE16202,yes,no,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,2
MCAE16203,yes,no,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,2
MCAE16204,yes,no,2,2,2,3,3,2,2,2,3,3,2,3,1,1,1,1,1
MCAE16205,yes,no,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,5,4
MCAE16207,yes,no,3,3,4,2,3,3,4,2,3,4,4,4,3,2,4,5,5
MCAE16208,yes,no,3,3,4,4,4,4,4,3,4,3,3,4,3,3,3,4,2
MCAE16210,yes,no,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,5
MCAE16215,yes,no,3,3,3,3,3,2,3,2,3,4,3,3,2,3,3,4,1
MCAE16220,yes,no,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3
MCAE16221,yes,no,4,2,4,3,4,3,3,4,3,4,4,4,3,4,4,4,4
MCAE16223,yes,no,3,3,4,4,4,4,4,4,4,3,4,4,2,2,3,4,4
MCAE16224,yes,no,3,2,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2
MCAE16227,yes,no,3,3,2,2,4,3,2,3,3,3,2,3,3,5,4,5,2
MCAE16228,yes,no,4,2,3,3,4,3,3,4,4,4,4,4,3,5,3,4,2
MCAE16231,yes,no,3,2,2,2,3,2,3,2,3,3,2,3,4,3,4,4,3
MCAE16233,yes,no,4,4,3,3,2,2,3,4,2,4,3,3,4,4,4,2,3
MCAE16234,yes,no,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3
